email,household_type,footage,heating_temp,cooling_temp,postal_code,utilities
akardas@singletechno.com,house,548,71,75,28630,"electric,gas"
akarpin@faxquote.com,house,3693,69,71,48820,electric
akarpin@singletechno.com,house,3350,71,72,30388,"electric,fuel oil"
akeneipp@bioholding.com,apartment,947,,75,26222,electric
akeneipp@groovestreet.com,apartment,457,65,,44179,electric
aketelsen@ontomedia.com,apartment,780,,74,44822,"electric,gas"
aketelsen@xx-holding.com,house,2671,,73,93625,
akiel@codehow.com,apartment,970,74,72,55785,"gas,steam,fuel oil"
akiel@scotfind.com,house,717,70,72,13061,gas
akines@labdrill.com,apartment,1075,67,75,19472,fuel oil
akippley@stanredtax.com,apartment,797,73,73,16045,steam
akitty@fasehatice.com,condominium,488,,70,97842,gas
akitty@zathunicon.com,house,1911,68,72,92118,"electric,gas,fuel oil"
akitzman@sonron.com,mobile home,323,75,71,65779,gas
aklang@newex.com,apartment,744,73,75,7474,fuel oil
aklimek@sonron.com,apartment,768,74,73,85244,"electric,gas"
aklonowski@donquadtech.com,apartment,864,75,73,83634,electric
akohl@hottechi.com,house,1905,,,99549,"electric,gas"
akolmetz@kinnamplus.com,mobile home,154,67,,31908,"electric,gas"
akonopacki@golddex.com,house,628,75,,92191,"electric,gas"
akoppinger@sunnamplex.com,house,777,72,70,50434,"electric,fuel oil"
akorando@doncon.com,condominium,714,71,,43523,gas
akorando@finjob.com,townhome,1568,74,69,50120,
akorando@goodsilron.com,apartment,138,69,72,26456,steam
akownacki@green-plus.com,house,906,74,,81247,electric
akulzer@scotfind.com,townhome,1889,71,75,30087,gas
alabreche@silis.com,apartment,36,71,,45750,fuel oil
alace@xx-holding.com,house,1153,,,75092,
alacovara@hatfan.com,apartment,1336,70,73,44106,gas
alapage@ontomedia.com,house,1517,78,76,84723,"electric,gas,fuel oil"
alary@toughzap.com,house,2265,72,,54737,"electric,steam"
alatzke@faxquote.com,apartment,1279,,71,61610,
alayous@dontechi.com,apartment,574,73,,40283,
alayous@statholdings.com,apartment,1022,,,75663,"electric,gas,fuel oil"
aleinenbach@green-plus.com,apartment,1348,,70,19116,electric
aleto@warephase.com,house,222,72,73,56561,gas
alietz@j-texon.com,house,3437,77,,20667,
alindall@gogozoom.com,apartment,385,70,68,79702,"steam,fuel oil"
aliukko@hatfan.com,apartment,1318,69,71,69027,electric
aloader@scottech.com,house,737,74,72,50315,"electric,gas"
aloder@rundofase.com,mobile home,424,73,74,10016,"electric,gas"
alother@doncon.com,mobile home,444,75,72,12172,
aluczki@konmatfix.com,mobile home,309,78,69,73546,"electric,gas"
alungren@faxquote.com,apartment,583,75,76,44470,fuel oil
alungren@opentech.com,house,6092,72,,16731,"electric,gas,fuel oil"
amaclead@ron-tech.com,condominium,74,,,98591,"electric,gas,fuel oil"
amai@warephase.com,townhome,1741,77,74,98801,electric
amaillard@bioholding.com,apartment,867,76,71,94543,electric
amaillard@plexzap.com,apartment,873,67,,41760,gas
amallett@plussunin.com,townhome,1323,68,,96141,gas
amarrier@hatfan.com,house,1630,75,73,11955,
amarrier@zoomit.com,house,721,75,,60053,electric
amartabano@ron-tech.com,house,1995,67,71,78116,gas
amatuszak@dalttechnology.com,apartment,1700,,71,27315,gas
amaybury@rundofase.com,townhome,1430,73,69,10161,
amaynerich@bioholding.com,condominium,52,,72,15779,gas
amaynerich@treequote.com,townhome,1081,,,60176,gas
amccullan@plexzap.com,house,1240,69,73,17243,"electric,gas"
amcdoniel@faxquote.com,apartment,831,69,76,14150,"gas,fuel oil"
amcdoniel@kinnamplus.com,apartment,428,76,73,68226,electric
amconnell@zumgoity.com,apartment,495,,74,90261,electric
amcrae@silis.com,townhome,101,71,75,43216,"electric,gas,fuel oil"
ameteer@betatech.com,condominium,807,,72,51553,"electric,fuel oil"
amiceli@funholding.com,condominium,1061,65,,58740,"electric,gas,fuel oil"
amirafuentes@finhigh.com,condominium,2896,71,75,84513,gas
amirafuentes@newex.com,condominium,1805,,72,30668,electric
amirafuentes@plexzap.com,mobile home,202,77,71,69025,"electric,gas"
amiro@groovestreet.com,townhome,2932,72,,98575,fuel oil
amodzelewski@yearin.com,house,1448,72,70,95386,
amonarrez@funholding.com,house,736,67,73,71953,electric
amonarrez@inity.com,apartment,879,73,70,54559,fuel oil
amonarrez@toughzap.com,apartment,1542,71,,53585,gas
amondella@funholding.com,mobile home,994,66,,25161,electric
amondella@sumace.com,house,549,72,,77336,
amondella@zathunicon.com,house,1540,73,69,95385,gas
amonterrubio@domzoom.com,mobile home,219,71,73,38017,
amonterrubio@dontechi.com,apartment,88,67,68,76210,electric
amorasca@betatech.com,apartment,457,73,75,26714,electric
amorocco@conecom.com,apartment,525,76,72,22408,fuel oil
amorocco@rantouch.com,apartment,773,,71,33035,"electric,steam"
amoyd@betatech.com,house,1351,71,,65672,gas
amugnolo@j-texon.com,apartment,555,,74,27626,"electric,gas"
amulqueen@silis.com,mobile home,223,68,,95032,
amyricks@konmatfix.com,house,1157,,,66741,
amyricks@sonron.com,house,1549,78,74,20111,gas
anabours@bioholding.com,townhome,629,72,73,8854,electric
anewville@newex.com,house,799,72,71,37857,gas
anewville@sunnamplex.com,house,1072,72,,7092,
anewville@warephase.com,house,1160,73,,89018,electric
anicka@zotware.com,apartment,659,73,76,57188,electric
anievas@hottechi.com,townhome,1371,73,72,23702,gas
aogg@warephase.com,house,1006,68,74,72958,gas
aoles@blackzim.com,mobile home,428,,75,46355,electric
aonofrio@conecom.com,mobile home,435,,74,18651,gas
aonofrio@yearin.com,house,628,66,75,24826,"gas,fuel oil"
aostolaza@iselectrics.com,apartment,1074,66,73,60464,"electric,gas,steam"
apadilla@iselectrics.com,apartment,547,72,,37143,"electric,gas"
apagliuca@xx-zobam.com,house,1342,68,74,92051,
apalaia@cancity.com,house,1852,70,,37779,"electric,gas"
apalaia@hatfan.com,apartment,729,73,71,20138,fuel oil
aparlato@doncon.com,townhome,1613,73,,70569,electric
aparlato@groovestreet.com,mobile home,215,74,72,37243,gas
aparvis@blackzim.com,apartment,196,64,75,92283,electric
aparvis@groovestreet.com,townhome,821,,74,32956,"electric,gas"
apedrozo@silis.com,apartment,1409,73,,93279,fuel oil
apelkowski@warephase.com,mobile home,372,78,75,71452,gas
aperez@sonron.com,condominium,901,73,70,72840,gas
apoquette@faxquote.com,house,3477,73,69,47958,
apoquette@goodsilron.com,house,2288,77,73,8057,
apugh@lexiqvolax.com,mobile home,342,73,,33776,electric
aradde@plussunin.com,apartment,1047,76,,64109,fuel oil
aradde@scottech.com,house,572,76,71,78041,electric
arantanen@golddex.com,apartment,798,,73,91124,gas
arantanen@singletechno.com,mobile home,450,72,73,49919,"electric,gas,fuel oil"
arauser@fasehatice.com,townhome,2570,71,,31569,"electric,gas,fuel oil"
araymo@funholding.com,apartment,1380,73,73,30161,
araymo@rundofase.com,house,890,67,76,88268,electric
araymo@statholdings.com,apartment,508,73,,17885,gas
aregusters@lexiqvolax.com,house,1441,75,,57730,"gas,steam"
areiber@scottech.com,townhome,2815,77,,27542,"electric,fuel oil"
arestrepo@zumgoity.com,house,1463,70,74,45363,"electric,gas,fuel oil"
arhoden@zathunicon.com,condominium,1583,,76,3057,"electric,gas,fuel oil"
arhym@plexzap.com,house,121,66,,21045,"electric,steam,fuel oil"
ariden@hatfan.com,house,645,73,73,33166,
ariopelle@mathtouch.com,house,1752,75,73,68325,"electric,gas"
arochin@toughzap.com,apartment,829,71,,89434,steam
arodefer@sumace.com,apartment,2328,71,,22454,fuel oil
arodeigues@codehow.com,condominium,171,78,72,10309,"electric,fuel oil"
arowling@stanredtax.com,apartment,810,,73,8406,"electric,fuel oil"
arulapaugh@labdrill.com,house,684,76,71,80932,steam
arulapaugh@zoomit.com,house,2298,72,,97394,fuel oil
aryser@groovestreet.com,house,566,72,71,15931,
asama@zoomit.com,house,2188,72,,75354,
asaras@green-plus.com,apartment,1926,75,69,78294,"electric,gas"
asaulter@codehow.com,house,751,69,70,794,"electric,fuel oil"
asawchuk@hottechi.com,mobile home,423,67,,32596,gas
asaylors@golddex.com,apartment,821,73,73,46777,gas
asaylors@rantouch.com,house,1232,72,73,67626,gas
asaylors@sunnamplex.com,apartment,1409,70,,99786,electric
asaylors@zumgoity.com,house,675,73,,47716,
ascheyer@ontomedia.com,townhome,1869,75,72,60653,"gas,steam"
ascheyer@ron-tech.com,townhome,2642,69,72,49665,"electric,gas"
aschieler@ron-tech.com,house,2467,67,71,18078,"electric,gas,fuel oil"
aschmaltz@scotfind.com,apartment,369,71,,95563,electric
aschmaltz@zencorporation.com,house,1459,75,,74014,electric
aschnitzler@fasehatice.com,apartment,903,67,,78053,"electric,gas"
aschoeneck@finjob.com,house,1323,76,70,25988,
aschoeneck@scottech.com,apartment,977,73,71,36052,"electric,gas"
ascriven@hatfan.com,mobile home,570,,71,66830,"electric,gas"
aseewald@conecom.com,house,2436,75,70,10590,"electric,gas"
aseewald@doncon.com,house,1320,65,73,76124,"electric,steam"
asengbusch@fasehatice.com,townhome,1878,,70,47858,
asergi@labdrill.com,apartment,1039,77,71,65251,electric
asergi@stanredtax.com,condominium,2654,,71,75169,
ashadrick@zumgoity.com,mobile home,147,73,73,38780,"electric,gas,fuel oil"
ashin@zoomit.com,apartment,39,69,73,34729,"gas,fuel oil"
asilvestrini@plussunin.com,house,1330,71,,92552,"electric,steam"
asilvestrini@sunnamplex.com,house,2060,68,74,14812,electric
asimilton@dontechi.com,house,2172,,73,46570,
asimilton@plussunin.com,house,1871,71,,20047,electric
askulski@blackzim.com,house,1652,67,70,18932,gas
askulski@ontomedia.com,apartment,367,71,73,19451,gas
askursky@j-texon.com,apartment,857,,72,2661,gas
aslayton@year-job.com,apartment,131,70,73,3864,electric
aslusarski@iselectrics.com,apartment,751,72,74,76233,"gas,steam"
aspickerman@labdrill.com,townhome,693,66,73,44735,electric
aspickerman@year-job.com,house,1792,72,70,30187,"gas,fuel oil"
astaback@kinnamplus.com,townhome,1590,76,69,49782,electric
astem@toughzap.com,apartment,55,76,72,35580,
astenseth@ontomedia.com,mobile home,645,,72,36371,electric
astenseth@plusstrip.com,condominium,1807,,75,68816,electric
astenseth@stanredtax.com,house,1124,66,71,44690,"electric,gas"
astimmel@bioholding.com,apartment,1545,74,74,43722,"electric,gas"
astimmel@ganjaflex.com,apartment,144,76,68,65264,"gas,steam"
astoltzman@blackzim.com,apartment,86,74,75,67475,"electric,fuel oil"
astoltzman@domzoom.com,condominium,753,66,71,87499,"electric,gas"
astoltzman@zotware.com,house,3772,74,,70752,
astorment@statholdings.com,house,805,67,69,22645,"electric,gas,fuel oil"
astrassner@faxquote.com,apartment,43,69,73,21679,electric
asweigard@fasehatice.com,apartment,909,69,,23225,
ategarden@treequote.com,house,2454,76,73,28081,electric
atheodorov@fasehatice.com,condominium,1922,,,15936,
atoelkes@dontechi.com,house,987,78,,40724,"electric,gas"
atolfree@plexzap.com,house,748,71,72,82190,
atreston@condax.com,house,1294,71,73,82832,
atromblay@j-texon.com,townhome,815,76,76,49916,electric
atromblay@xx-holding.com,house,1393,,71,20053,
aturinetti@j-texon.com,townhome,1028,,71,78738,
aturinetti@scotfind.com,apartment,2226,70,72,57301,gas
aupthegrove@fasehatice.com,townhome,704,67,,21677,steam
aupthegrove@hatfan.com,house,2658,76,,30285,"gas,fuel oil"
auyetake@sonron.com,apartment,529,71,76,30810,"electric,gas,fuel oil"
auyetake@toughzap.com,apartment,529,68,,25901,"electric,gas,fuel oil"
avanausdal@streethex.com,apartment,1171,71,75,80161,
avanheusen@cancity.com,apartment,95,69,74,27291,"electric,fuel oil"
avanheusen@finjob.com,condominium,2383,73,69,50350,fuel oil
avenere@fasehatice.com,townhome,1189,75,73,74423,gas
avizarro@bioholding.com,apartment,146,74,73,22720,
avizarro@ganjaflex.com,mobile home,174,76,,42044,
awardrip@golddex.com,townhome,641,73,,3803,
awaycott@ganjaflex.com,condominium,1606,73,73,74425,electric
aweglarz@warephase.com,condominium,459,75,76,25927,
aweight@cancity.com,apartment,1293,76,75,42565,electric
aweirather@funholding.com,house,788,75,74,27361,"electric,fuel oil"
awenner@bioplex.com,townhome,1321,73,76,98401,electric
awhobrey@zathunicon.com,house,1391,,70,7621,
awiklund@gogozoom.com,condominium,1502,69,,1770,gas
awiklund@kan-code.com,apartment,414,73,71,53074,electric
awildfong@faxquote.com,house,1253,64,74,47863,"electric,steam"
aworlds@ganjaflex.com,house,1425,,74,86544,
aworlds@plussunin.com,house,4834,74,,5648,gas
aworlds@stanredtax.com,house,2654,75,,56563,"electric,gas"
awrinkles@statholdings.com,apartment,454,67,,22663,electric
azagen@plussunin.com,apartment,1175,,74,19310,"electric,gas,steam"
azane@zencorporation.com,apartment,935,,70,13803,"electric,gas"
azepp@zencorporation.com,house,553,74,73,12220,"electric,fuel oil"
azurcher@codehow.com,house,1955,,75,18449,gas
bacey@hottechi.com,house,523,71,72,91335,gas
bacuff@groovestreet.com,house,1284,64,72,71935,
bagramonte@zumgoity.com,house,1920,70,70,21903,
bahle@golddex.com,house,2821,74,72,78623,"electric,gas,fuel oil"
bahle@stanredtax.com,house,1628,71,71,1526,gas
balbares@hatfan.com,townhome,1006,75,72,54449,
bangalich@xx-zobam.com,house,1598,71,,99677,
barias@silis.com,condominium,1025,76,73,68868,steam
basar@fasehatice.com,townhome,2148,,74,45211,
bbachman@y-corporation.com,apartment,744,71,75,8825,"gas,fuel oil"
bbayless@konex.com,apartment,828,72,71,48106,"electric,gas"
bbeech@scottech.com,apartment,1285,69,75,46012,gas
bbenimadho@dalttechnology.com,condominium,1414,75,,76449,gas
bbenimadho@funholding.com,apartment,1214,69,71,95527,
bberganza@streethex.com,mobile home,499,73,68,85712,electric
bbergesen@groovestreet.com,condominium,1009,69,73,76707,electric
bbevelacqua@hottechi.com,apartment,566,64,73,94619,"electric,gas,fuel oil"
bbilden@domzoom.com,house,561,71,73,39359,electric
bbirkner@warephase.com,apartment,78,,71,23607,electric
bblackwood@isdom.com,house,621,78,,92316,
bblackwood@rangreen.com,apartment,3254,71,,7839,
bboulter@dalttechnology.com,apartment,748,76,71,47729,electric
bbowley@hatfan.com,apartment,1178,68,71,64058,
bbreland@plusstrip.com,house,2146,66,,54610,fuel oil
bbreland@zathunicon.com,house,722,69,74,57745,electric
bbrossart@konex.com,townhome,1877,73,,32187,"gas,steam"
bbrossart@toughzap.com,apartment,137,76,74,87010,
bbruschke@cancity.com,house,971,,74,26618,electric
bbubash@cancity.com,apartment,998,67,72,44050,electric
bbutt@bioholding.com,mobile home,581,,73,37148,gas
bcalvaresi@codehow.com,townhome,625,66,71,74046,electric
bcampain@gogozoom.com,house,690,76,,60151,"electric,gas"
bcanlas@donware.com,townhome,1909,74,71,60014,electric
bcanlas@green-plus.com,condominium,293,73,,71202,
bcantres@donware.com,house,2775,67,72,98859,
bcentini@hottechi.com,house,3104,76,75,2295,gas
bcetta@singletechno.com,apartment,1218,72,72,66830,gas
bchaffins@hottechi.com,apartment,511,,73,54407,fuel oil
bchavous@kinnamplus.com,apartment,766,77,,49036,gas
bchavous@statholdings.com,apartment,1173,71,73,31759,
bchickering@scotfind.com,house,802,74,74,77290,gas
bcloney@groovestreet.com,apartment,656,73,71,78658,"electric,fuel oil"
bcolla@golddex.com,house,1220,75,,56252,gas
bcolla@mathtouch.com,house,2317,,69,35463,electric
bcorbley@singletechno.com,townhome,1323,73,75,28123,"electric,gas"
bcorrio@sunnamplex.com,apartment,1606,77,73,33233,electric
bcousey@nam-zim.com,apartment,1853,,,34691,"gas,fuel oil"
bcousey@statholdings.com,house,2122,,74,37111,gas
bcousey@treequote.com,apartment,1060,76,73,40037,"electric,fuel oil"
bcoyier@labdrill.com,apartment,1168,75,70,2668,"electric,gas,fuel oil"
bdaufeldt@lexiqvolax.com,townhome,1705,74,,47346,
bdelasancha@warephase.com,apartment,1356,73,72,18462,"steam,fuel oil"
bdeleo@scotfind.com,townhome,201,,73,45620,
bdevreese@streethex.com,townhome,696,67,73,24448,steam
bdewar@fasehatice.com,apartment,976,70,74,49279,electric
bdhamer@mathtouch.com,house,1136,73,75,77483,electric
bdorshorst@plusstrip.com,apartment,888,65,74,10106,fuel oil
bdubaldi@lexiqvolax.com,apartment,440,70,74,48519,electric
bdubaldi@newex.com,apartment,3853,68,72,97448,"electric,gas,fuel oil"
beanes@dontechi.com,house,660,73,70,4863,electric
beanes@j-texon.com,mobile home,279,74,69,68823,electric
beanes@y-corporation.com,house,654,,,82428,"electric,fuel oil"
bemigh@bioholding.com,apartment,362,73,69,38195,"electric,gas"
bennaco@dalttechnology.com,condominium,532,71,76,48862,fuel oil
beschberger@stanredtax.com,apartment,1286,71,72,85940,"electric,gas"
bestell@condax.com,apartment,421,77,71,1037,"electric,steam,fuel oil"
bfallick@funholding.com,apartment,1031,74,73,58068,"electric,fuel oil"
bfallick@rangreen.com,mobile home,46,73,,3047,"electric,gas"
bfarrar@lexiqvolax.com,apartment,522,67,70,49812,"gas,fuel oil"
bfarrow@gogozoom.com,apartment,1103,77,,71742,electric
bfeichtner@goodsilron.com,house,762,66,,29666,electric
bfelger@silis.com,house,1231,68,75,97490,electric
bfelger@year-job.com,apartment,838,66,68,10527,gas
bferencz@isdom.com,house,1563,67,76,77598,electric
bfern@dalttechnology.com,townhome,1031,72,,56116,"electric,gas"
bfishburne@donware.com,house,967,72,,32725,gas
bfortino@green-plus.com,house,1932,,72,3838,"electric,gas"
bfrancescon@finhigh.com,house,630,76,73,45663,"electric,gas,fuel oil"
bfrancescon@toughzap.com,townhome,1477,72,68,47390,
bfrancescon@yearin.com,house,1738,65,73,45389,"electric,steam"
bfrankel@sunnamplex.com,condominium,3063,66,74,92191,
bfrankel@zencorporation.com,apartment,894,76,72,39045,
bgiguere@bioholding.com,apartment,1121,77,,91769,gas
bgiguere@zencorporation.com,house,937,72,,76049,gas
bgillaspie@dambase.com,apartment,1070,69,,11942,gas
bglick@kinnamplus.com,house,1520,66,75,21503,
bgochal@scotfind.com,apartment,4433,69,74,93423,electric
bgochal@year-job.com,mobile home,315,,73,27349,gas
