household_email	appliance_number	manufacturer_name	model	appliance_type	air_handler_types	eer	energy_source	hspf	seer	energy_source	capacity	temperature	btu
abiddy@bioholding.com	3	Truvenopantor	Upsipin	air_handler	heater,air_conditioner	1.1	gas						5566
abiddy@bioholding.com	4	Vartaninazz Direct Corp.	Partumax	air_handler	heatpump,air_conditioner	2.4		20.7	47.5				4176
abilden@labdrill.com	1	Unrobexower Corp.	Tupkilaquar	air_handler	heatpump			21.5	28.7				5618
abilden@labdrill.com	2	Uppickax Holdings Inc	Tipvenax	air_handler	air_conditioner	1.3							6823
abilden@labdrill.com	3	Barsipicator WorldWide	Endbanar	air_handler	heatpump			19.1	38.0				3954
abilden@labdrill.com	4	Tupdimonentor	Klitinistor	air_handler	heatpump,air_conditioner	2.1		22.4	53.6				9967
abilden@labdrill.com	5	Supericator WorldWide Company		air_handler	air_conditioner	4.3							6998
abilden@labdrill.com	6	Hapzapantor		water_heater						electric	10.4	219	8087
abilden@xx-holding.com	1	Adtumommin Inc	Varpickollazz	water_heater						gas	71.5	151	10810
abirkner@ron-tech.com	1	Grosapantor Direct	Upweranar	air_handler	air_conditioner,heater	1.5	electric						7997
abirkner@ron-tech.com	2	Inrobentor WorldWide	Thrunipedgazz	air_handler	heater		fuel oil						4065
abirkner@ron-tech.com	3	Qwicadplentor Holdings	Rapsapegan	air_handler	heater		fuel oil						4067
ablackwood@codehow.com	1	Recadamentor WorldWide		air_handler	heater		electric						6532
ablackwood@codehow.com	2	Upfropadar WorldWide Company	Tiphupover	air_handler	heater		fuel oil						6278
ablackwood@codehow.com	3	Winsapplover	Winjubepex	water_heater						electric	14.2	102	6516
ablackwood@codehow.com	4	Untumicator WorldWide Corp.	Enddimonentor	air_handler	air_conditioner	3.1							5892
aboord@dambase.com	1	Unpickewex	Cipdimegover	air_handler	heatpump			25.3	43.4				9247
aboord@y-corporation.com	1	Qwivenover Holdings Corp.		air_handler	air_conditioner	2.0							7699
aboord@y-corporation.com	2	Barglibedgover	Monbaninantor	air_handler	air_conditioner	1.8							7324
aboord@y-corporation.com	3	Varfropazz Direct Group	Qwihupimazz	air_handler	heater		electric						6365
aborgman@konex.com	1	Rehupex	Thrutinedentor	air_handler	heatpump,air_conditioner	1.7		20.8	28.9				6157
aborgman@konex.com	2	Tuppebinistor WorldWide	Mondudonin	air_handler	heatpump			21.9	43.5				3285
aborgman@konex.com	3	Dophupan International Company	Hapcadanower	air_handler	air_conditioner	4.3							3755
abourbon@fasehatice.com	1	Lomquestadan International	Sursipinicator	air_handler	air_conditioner,heater	2.5	electric						12637
abowley@zoomit.com	1	Supzapollex	Cipnipex	air_handler	heatpump,air_conditioner	1.2		21.7	52.5				6335
abowley@zoomit.com	2	Thrutinegin Direct	Monfropegantor	water_heater						heat pump	42.0	110	3979
abowley@zoomit.com	3	Intinicower	Dopjuban	water_heater						thermosolar	63.7	104	3314
abrachle@finjob.com	1	Winfropanover International	Cippickilex	air_handler	heater,air_conditioner	2.2	electric						7260
abrachle@finjob.com	2	Thrujubepazz International Company	Intinefar	air_handler	heater,air_conditioner	2.9	gas						7165
abrachle@finjob.com	3	Monrobinistor		air_handler	heatpump			16.8	62.2				5055
abrachle@finjob.com	4	Truglibazz Direct		water_heater						heat pump	56.7		7333
abrachle@konmatfix.com	1	Lomfropor	Endpickicator	air_handler	air_conditioner	2.4							6391
abrideau@streethex.com	1	Hapjubex Inc	Adpickin	water_heater						gas	29.8	95	5223
abrideau@streethex.com	2	Haprobedgazz	Cipmunistor	air_handler	air_conditioner,heatpump	1.8		28.7	44.0				8955
abrideau@streethex.com	3	Qwivenepax Holdings	Cipfropex	air_handler	air_conditioner,heater	3.3	electric						7604
abrideau@streethex.com	4	Rehupadar Direct		air_handler	heater		gas						5184
abrideau@streethex.com	5	Supsapentor	Unpickefax	air_handler	heatpump			26.2	42.8				5993
abrideau@streethex.com	6	Thrurobicar WorldWide		water_heater						gas	93.5		6225
abrucato@plussunin.com	1	Retanower International Inc	Adquestanistor	air_handler	air_conditioner	1.5							6190
abrucato@plussunin.com	2	Klidudackazz Group	Adwerpimor	air_handler	heater,heatpump		gas	27.1	40.6				10149
abrucato@plussunin.com	3	Varrobegower Company	Embanamentor	water_heater						gas	22.1	112	7283
abrucato@plussunin.com	4	Hapzapedan Holdings Corp.	Tupmunantor	air_handler	air_conditioner	3.5							9678
abruschke@dambase.com	1	Endbanimex International Corp.	Resapommar	air_handler	heatpump			16.7	47.2				17564
abruschke@plusstrip.com	1	Lomdudicator International	Hapsapedan	air_handler	air_conditioner	3.8							6690
abruschke@plusstrip.com	2	Bartinistor WorldWide	Renipimicator	air_handler	heatpump			25.7	45.6				4829
abruschke@plusstrip.com	3	Varsipazz Direct		air_handler	heatpump			28.9	45.0				5835
abruschke@plusstrip.com	4	Winkilinan International	Lomzapor	air_handler	heatpump,air_conditioner	9.4		21.7	47.9				7079
abruschke@plusstrip.com	5	Tipvenefar		air_handler	heater		gas						6842
abruschke@plusstrip.com	6	Truerefar International	Adrobexentor	air_handler	heater		electric						4402
abruschke@plusstrip.com	7	Tipdimex Inc	Partinistor	air_handler	heatpump			21.6	46.6				3786
abruschke@plusstrip.com	8	Winmunepar	Rapwerilantor	air_handler	air_conditioner	1.7							4535
abruschke@plusstrip.com	9	Mondimaquan Direct		air_handler	heater		gas						6101
abutzen@statholdings.com	1	Frotinaquar Direct Group	Surzapicicator	air_handler	heater,air_conditioner	10.1	gas						10230
abutzen@statholdings.com	2	Supfropefex Holdings Company	Undudadentor	air_handler	air_conditioner	1.3							6851
abutzen@statholdings.com	3	Admunin WorldWide Corp.	Rebanower	air_handler	heater,air_conditioner	2.3	gas						8705
abuvens@plusstrip.com	1	Lomkilex Holdings Inc		air_handler	heater		gas						5720
abuvens@plusstrip.com	2	Winwerpadower International Company	Qwijubower	air_handler	heater,air_conditioner	2.1	electric						6308
abuvens@plusstrip.com	3	Montanewor Inc		air_handler	heatpump			21.2	44.2				5572
acaiafa@nam-zim.com	1	Tupsipimower International Inc	Qwitanonax	air_handler	heater		gas						7087
acaiafa@nam-zim.com	2	Supbanegor Holdings	Barmunimar	air_handler	heater,air_conditioner	1.9	fuel oil						10977
acaiafa@nam-zim.com	3	Qwijubackicator WorldWide Company	Emwerpexin	air_handler	heater,heatpump		electric	24.1	39.1				10968
acaiafa@nam-zim.com	4	Monfropor	Thrumunackover	air_handler	heatpump			27.7	44.1				5533
acaiafa@nam-zim.com	5	Thrucadedor Direct		air_handler	heater		gas						5993
acaiafa@nam-zim.com	6	Emvenazz Holdings	Unrobower	water_heater						electric	45.4	112	5184
acaldarera@cancity.com	1	Intanazz Direct Company	Endtanollistor	air_handler	air_conditioner	4.0							6926
acaldarera@cancity.com	2	Surcadinin International	Zeepickewan	water_heater						gas	51.3	173	6142
acaldarera@cancity.com	3	Qwiglibin Holdings	Surwerpilazz	air_handler	heater		electric						5973
acaldarera@cancity.com	4	Trusipplex International	Emdudackor	air_handler	air_conditioner,heater	3.4	electric						10554
acalvaresi@nam-zim.com	1	Hapvenicator Direct		air_handler	air_conditioner	1.7							6837
acalvaresi@nam-zim.com	2	Inpebax Direct		air_handler	heatpump,air_conditioner	2.3		22.5	48.8				6402
acalvaresi@nam-zim.com	3	Tuppickin Corp.	Grofropplor	air_handler	heater		fuel oil						8260
acalvaresi@nam-zim.com	4	Inkilazz Corp.		air_handler	heater		gas						5352
acalvaresi@nam-zim.com	5	Adveninentor Inc	Adjubonor	air_handler	heatpump,heater		gas	12.7	35.5				13128
acalvaresi@nam-zim.com	6	Klibanedgor Holdings	Winkilopor	water_heater						gas	49.0	166	7079
acalvaresi@nam-zim.com	7	Parvenollazz WorldWide Group		water_heater						electric	14.1	98	7399
acalvaresi@ontomedia.com	1	Trubanantor WorldWide	Thrumunupin	water_heater						gas	32.1	106	3921
acalvaresi@ontomedia.com	2	Advenex Inc	Trutumadazz	water_heater						heat pump	31.3	105	3391
acalvaresi@ontomedia.com	3	Tupdimazz Direct	Inzapaquin	air_handler	air_conditioner,heatpump	2.2		24.6	39.9				8032
acalvaresi@ontomedia.com	4	Kliwerimazz Holdings Group	Winweredover	air_handler	air_conditioner	2.6							2586
acalvaresi@ontomedia.com	5	Emwericator WorldWide Company	Winweradan	air_handler	heatpump			24.0	34.0				3076
acalvaresi@ontomedia.com	6	Unjubar International Group		air_handler	heatpump,air_conditioner	2.5		26.4	38.5				7264
acanlas@xx-zobam.com	1	Surdimicator		water_heater						electric	46.4	92	16395
acantres@dontechi.com	1	Varhupilor Holdings		air_handler	air_conditioner	1.6							5999
acantres@dontechi.com	2	Supnipegistor Direct	Tuptanedgover	air_handler	air_conditioner	13.1							7393
acantres@dontechi.com	3	Parfropplower WorldWide Group	Klidimicator	air_handler	heatpump			20.5	48.9				6352
acantres@dontechi.com	4	Supfropefex Holdings Company		air_handler	heatpump			19.6	52.5				5561
acantres@dontechi.com	5	Untumicator WorldWide Corp.	Zeetinopistor	air_handler	air_conditioner	1.5							4493
acantres@dontechi.com	6	Upglibistor WorldWide Company	Cipkilaquazz	air_handler	air_conditioner	4.6							8331
acantres@sonron.com	1	Doptanin Direct Group	Barwerpaman	air_handler	heater		gas						4887
acantres@sonron.com	2	Tupnipopar	Surbanommax	air_handler	heatpump			21.0	55.7				6965
acantres@sonron.com	3	Inrobentor WorldWide	Rapcadicentor	air_handler	heater		electric						6176
acantres@sonron.com	4	Hapmunentor Holdings	Unquestefin	water_heater						thermosolar	42.5	120	5708
acentini@groovestreet.com	1	Parquestilicator WorldWide Corp.	Qwibanex	air_handler	heater		electric						3354
achaffins@openlane.com	1	Hapdudower Holdings Company	Parvenedar	air_handler	heater		electric						9383
achavous@groovestreet.com	1	Dopsipegentor Direct	Surdimewax	air_handler	heater		gas						6654
achavous@groovestreet.com	2	Monhupamar Inc	Dopzapplex	air_handler	heatpump			26.6	40.1				8413
achavous@groovestreet.com	3	Redudefazz International Corp.		air_handler	heater		gas						7272
achavous@xx-holding.com	1	Lommuniman Inc	Tipdimin	air_handler	heatpump			21.2	52.7				4995
achavous@xx-holding.com	2	Klirobentor	Froglibazz	air_handler	air_conditioner	1.4							5695
achavous@xx-holding.com	3	Tipweranor	Endpickadower	air_handler	heatpump			22.1	61.8				6539
achesterfield@newex.com	1	Mondudower WorldWide		air_handler	heater		electric						10111
achickering@rundofase.com	1	Uptumicator WorldWide	Empebupor	water_heater						thermosolar	51.5	260	9114
achickering@rundofase.com	2	Monrobor Direct	Aderackantor	air_handler	heatpump			18.4	59.7				9231
achickering@rundofase.com	3	Winpebewan WorldWide Group		air_handler	air_conditioner	2.0							8747
aclaucherty@toughzap.com	1	Rerobower WorldWide Inc	Truzapower	water_heater						thermosolar	15.1	144	13277
acloney@cancity.com	1	Dopjubimex International	Unweriman	air_handler	air_conditioner	18.7							10381
acolla@zathunicon.com	1	Tupdudar Direct	Supvenefover	water_heater						electric	29.2	107	14484
acoody@bioplex.com	1	Rapzapadistor Direct Group	Tupnipommar	air_handler	heater		gas						2691
acoody@bioplex.com	2	Tiphupar WorldWide Group	Thruerexax	air_handler	air_conditioner	1.6							3192
acoody@bioplex.com	3	Fromunommower Holdings Group	Surpickantor	air_handler	heatpump			28.1	40.2				2033
acoody@bioplex.com	4	Zeetanex International	Endtumex	air_handler	heater		gas						2571
acoody@finjob.com	1	Frobanan Holdings Group	Tiptanax	air_handler	heater,air_conditioner	0.5	gas						1439
acoody@finjob.com	2	Thrujubepazz International Company	Hapweredan	air_handler	air_conditioner	0.7							1224
acoody@finjob.com	3	Rapdimonazz Direct Inc		air_handler	heatpump,heater		electric	24.2	33.0				1692
acoody@finjob.com	4	Unzapicicator Holdings	Uptumor	air_handler	air_conditioner,heater,heatpump	3.0	electric	23.7	41.1				2523
acork@doncon.com	1	Happebantor	Thrudimanantor	air_handler	air_conditioner,heatpump	6.5		25.7	51.3				8442
acork@doncon.com	2	Barpickommantor Direct	Tipniponar	air_handler	heatpump			20.4	25.3				3662
acork@doncon.com	3	Lomnipover	Parwerpupicator	air_handler	air_conditioner	1.6							5054
acork@doncon.com	4	Cipwerpeficator	Lomtanadover	water_heater						electric	55.8	96	4828
acoyier@y-corporation.com	1	Dophupewex International	Rapsapower	air_handler	heater		fuel oil						9422
acoyier@y-corporation.com	2	Parjuban WorldWide Corp.	Recadadentor	water_heater						gas	92.1	192	8007
acoyier@y-corporation.com	3	Varfropanax Holdings Corp.	Tipjubinazz	air_handler	air_conditioner	4.2							7440
acoyier@y-corporation.com	4	Tipbanan International	Zeetinilantor	air_handler	heatpump,air_conditioner	3.4		32.1	34.5				11025
acoyier@y-corporation.com	5	Tupkilor International Inc	Frocadegower	air_handler	heater		electric						8175
acoyier@y-corporation.com	6	Remunopin		air_handler	heater		fuel oil						7765
acronauer@golddex.com	1	Winwerpazz Direct	Winroban	air_handler	heater		electric						6878
acronauer@golddex.com	2	Trurobax Direct Company	Adrobaquor	water_heater						gas	30.6	263	7173
acronauer@golddex.com	3	Renipicator WorldWide	Injubommex	air_handler	heater		electric						8569
acronauer@golddex.com	4	Partinax Direct Company	Empebewex	water_heater						thermosolar	48.5	113	7127
adallen@finjob.com	1	Dopjubimex International		water_heater						thermosolar	63.7	241	3912
adallen@finjob.com	2	Lomdudex WorldWide	Fropebollex	air_handler	air_conditioner,heatpump	7.4		27.1	26.1				7419
adallen@finjob.com	3	Parfropplower WorldWide Group	Grodudantor	water_heater						electric	67.5	222	4931
adallen@finjob.com	4	Inrobentor WorldWide	Suppebopin	water_heater						thermosolar	46.7	161	5017
adallen@finjob.com	5	Qwihupor Direct Group	Upwerupantor	air_handler	heater		electric						5387
adallen@finjob.com	6	Rekilantor Group	Tipquestilar	air_handler	air_conditioner,heatpump	1.7		15.5	33.2				8492
adallen@finjob.com	7	Pardudaquower Group	Zeezapegentor	water_heater						gas	32.2	136	3754
adarakjy@plusstrip.com	1	Thruvenor		air_handler	heatpump			21.7	33.3				9817
adarakjy@plusstrip.com	2	Vartumadax Direct Group	Frovenackicator	air_handler	air_conditioner	4.0							9129
adarakjy@plusstrip.com	3	Endpebazz Direct Group		air_handler	heater		gas						9623
adarakjy@plusstrip.com	4	Cipsapex	Repebadentor	water_heater						electric	61.1	156	8959
adaufeldt@singletechno.com	1	Ciptumedgicator Inc	Supsipex	water_heater						electric	48.9	129	2290
adaufeldt@singletechno.com	2	Emtumax Direct Inc	Monsipedgex	air_handler	air_conditioner	1.1							3623
adaufeldt@singletechno.com	3	Rekilantor Group	Ineronan	air_handler	air_conditioner,heater,heatpump	1.9	electric	20.0	43.0				6685
adegonia@bioholding.com	1	Winmunilan	Cipzapaquar	water_heater						electric	29.6	111	5950
adegonia@bioholding.com	2	Emtanor International Corp.	Varzapaquan	air_handler	heatpump			16.7	50.1				5480
adegonia@bioholding.com	3	Emcadentor International	Endkilin	air_handler	air_conditioner,heater,heatpump	2.7	electric	20.8	47.6				11002
adegonia@bioholding.com	4	Zeenipentor		air_handler	air_conditioner	1.8							5141
adegonia@bioholding.com	5	Tipbanan International	Thrubanefax	water_heater						gas	33.7	117	5812
adegonia@bioholding.com	6	Frosipazz International Company	Upzapollar	air_handler	heatpump			28.5	53.8				6039
adegonia@bioholding.com	7	Grohupicator Direct		air_handler	heatpump,air_conditioner	2.6		21.3	47.6				8137
adegonia@bioholding.com	8	Zeewerar Holdings	Emsapor	water_heater						electric	13.2		5297
adegonia@bioholding.com	9	Unbanollentor WorldWide Group		water_heater						gas	55.0	114	4441
adegroot@isdom.com	1	Dopveninentor Holdings	Endhupentor	air_handler	heatpump,air_conditioner	1.2		24.6	42.8				4845
adegroot@isdom.com	2	Bartumopover Direct Inc	Endnipentor	air_handler	heatpump			24.3	44.0				4070
adegroot@isdom.com	3	Barnipistor		air_handler	air_conditioner,heater	1.3	fuel oil						7050
adelasancha@faxquote.com	1	Varjubower Corp.		water_heater						thermosolar	12.3	196	6909
adelasancha@faxquote.com	2	Partanommentor	Adwerpax	air_handler	air_conditioner	2.2							7242
adelasancha@faxquote.com	3	Haptanackower International	Cipnipover	air_handler	air_conditioner	1.9							4885
ademesa@bioholding.com	1	Barsipegistor Company	Emjubistor	air_handler	air_conditioner	1.3							4137
ademesa@bioholding.com	2	Lomtumador WorldWide Inc		air_handler	heatpump,heater		electric	27.4	48.8				6813
ademesa@bioholding.com	3	Adtanollor Corp.	Winzapinover	air_handler	heater,air_conditioner	9.8	electric						7353
ademesa@zoomit.com	1	Tupmunedgantor Inc	Cipnipegax	water_heater						gas	17.3	126	13636
adenooyer@finhigh.com	1	Fropebepantor Inc	Klidimex	water_heater						electric	34.6	126	8721
adhamer@xx-holding.com	1	Cipmunax		water_heater						electric	13.2		5711
adhamer@xx-holding.com	2	Raptinefazz	Rapsapplicator	air_handler	heater		electric						7149
adhamer@xx-holding.com	3	Upjubazz Direct Company	Trusiponazz	water_heater						gas	15.5		7389
adickerson@blackzim.com	1	Rejubover Holdings	Dopbanplover	air_handler	heatpump			21.2	22.0				3894
adickerson@blackzim.com	2	Frodimex Holdings		air_handler	air_conditioner	1.2							4523
adickerson@blackzim.com	3	Advenupex Direct Company	Cipcadegantor	air_handler	heater		fuel oil						4562
adickerson@plussunin.com	1	Dopquestimentor Direct	Vartanilazz	air_handler	heater		fuel oil						9946
adinos@rundofase.com	1	Hapquestover Direct		air_handler	air_conditioner,heatpump	4.7		22.7	49.0				9124
adinos@rundofase.com	2	Frodimamax WorldWide	Monfropaquin	water_heater						thermosolar	67.5	229	5887
adinos@rundofase.com	3	Unvenefor Group	Hapzapistor	air_handler	air_conditioner	1.6							6864
adiscipio@iselectrics.com	1	Recadedin Direct	Growerex	air_handler	heatpump			26.8	43.7				4761
adiscipio@iselectrics.com	2	Surerepin Direct Corp.	Doptanefover	air_handler	air_conditioner	2.0							9212
adiscipio@iselectrics.com	3	Frodimex Holdings	Parhupommower	water_heater						electric	26.0	130	6163
adopico@scottech.com	1	Frodimex Holdings		air_handler	air_conditioner	11.6							10069
adopico@scottech.com	2	Supkilistor Direct Company	Rewerpamex	air_handler	heater		gas						13384
adopico@scottech.com	3	Cipdudefower WorldWide	Groquestedentor	air_handler	air_conditioner	2.5							10290
adopico@scottech.com	4	Parkilicentor International	Grosipegax	air_handler	air_conditioner	4.4							12080
aeanes@fasehatice.com	1	Parnipaquistor WorldWide	Parwerpilin	air_handler	air_conditioner,heater,heatpump	2.2	gas	29.1	40.0				6516
aeanes@fasehatice.com	2	Vartinax International Corp.		air_handler	heater		gas						3943
aeanes@fasehatice.com	3	Endbanilentor Direct	Barnipilan	air_handler	air_conditioner	1.6							3969
aeanes@scottech.com	1	Lomglibower Holdings	Tipnipommax	water_heater						electric	26.1		10413
aehmann@mathtouch.com	1	Parpickin International	Grosaponax	water_heater						electric	33.4	119	5598
aehmann@mathtouch.com	2	Incadex	Intinexor	water_heater						gas	11.3		6141
aehmann@mathtouch.com	3	Parkilicentor International	Hapnipackover	air_handler	air_conditioner,heater	2.1	electric						7245
aehmann@mathtouch.com	4	Lomquestadan International	Uptinan	water_heater						gas	33.8	101	5923
aehmann@mathtouch.com	5	Endtinan	Trumunanex	air_handler	heatpump,heater		electric	19.4	56.1				8499
aehmann@mathtouch.com	6	Cipcadollan International	Ciprobefistor	air_handler	heatpump			24.1	39.5				6327
aengelberg@dontechi.com	1	Refropackentor Direct Company		water_heater						electric	10.4	134	6099
aengelberg@dontechi.com	2	Endpebazz Holdings Group	Thrusapollistor	water_heater						thermosolar	84.1	132	7095
aengelberg@dontechi.com	3	Emtumax Direct Inc	Ciptanantor	water_heater						thermosolar	18.1	231	7154
aengelberg@scottech.com	1	Adtumegax	Supvenackar	air_handler	heatpump			22.0	30.0				14567
aeschberger@yearin.com	1	Qwierentor Direct	Varzapinistor	air_handler	heater		gas						11583
aestell@ganjaflex.com	1	Frofropopicator Direct		water_heater						gas	51.8	143	4819
aestell@ganjaflex.com	2	Montanonor Direct Corp.	Zeefropaquex	water_heater						electric	51.3	239	5740
aestell@ganjaflex.com	3	Varcadewicator	Froerupover	air_handler	air_conditioner	1.8							5582
aestell@zathunicon.com	1	Remunar International	Qwimunackax	air_handler	heatpump			24.3	48.0				14482
afallick@kinnamplus.com	1	Monkilower Direct	Inmunplentor	water_heater						electric	29.2	153	6979
afallick@kinnamplus.com	2	Unpebewin Direct Corp.	Upwerpplistor	air_handler	heatpump			19.9	31.3				8209
